Tv2C	Sal2	Sbeox2PS	PrdE
3.7831	0	9.21494	-0.083
3.7601	0	9.22055	-0.083
3.7601	0	9.22054	-0.083
3.7801	0	9.21569	-0.083
3.7788	0	9.21601	-0.083
3.821	0	9.20575	-0.083
5.9272	0	8.71784	-0.083
-22.7948	0	22.9787	-0.082
3.9895	0	9.16503	-0.082
4.0065	0	9.16094	-0.082
3.9922	0.0012	9.16431	-0.082
3.9875	0	9.1655	-0.082
3.9952	0	9.16367	-0.082
3.9262	0	9.1803	-0.082
3.9056	0	9.18527	-0.082
3.8168	0	9.20676	-0.082
3.8044	0	9.20978	-0.082
3.7656	0	9.2192	-0.082
3.7645	0	9.21947	-0.082
3.7844	0	9.21464	-0.082
3.8177	0	9.20656	-0.082
3.8602	0	9.19624	-0.082
-24.9702	0	25.35293	-0.081
-24.0155	0	24.26911	-0.081
3.7958	0	9.21188	-0.081
3.9937	0	9.16401	-0.081
4.0092	0	9.16028	-0.081
3.9693	0	9.1699	-0.081
3.947	0	9.17527	-0.081
3.9342	0	9.17836	-0.081
3.9327	0	9.17873	-0.081
3.9261	0	9.18031	-0.081
3.9274	0.0012	9.17992	-0.081
3.9194	0	9.18192	-0.081
3.8486	0	9.19907	-0.081
3.8518	0	9.19829	-0.081
3.8421	0	9.20064	-0.081
3.8187	0	9.20631	-0.081
3.814	0	9.20746	-0.081
3.8045	0	9.20975	-0.081
3.7818	0	9.21528	-0.081
3.8002	0	9.2108	-0.081
3.808	0	9.2089	-0.081
3.8132	0	9.20764	-0.081
3.8314	0	9.20324	-0.081
4.0001	0	9.16247	-0.08
4.0026	0	9.16188	-0.08
4.011	0	9.15985	-0.08
4.0121	0	9.15958	-0.08
4.0139	0	9.15915	-0.08
4.014	0	9.15913	-0.08
3.9811	0	9.16705	-0.08
3.9838	0	9.1664	-0.08
3.991	0	9.16467	-0.08
3.9679	0	9.17023	-0.08
3.949	0	9.17479	-0.08
3.9476	0	9.17512	-0.08
3.9468	0	9.17532	-0.08
3.9499	0	9.17457	-0.08
3.9474	0	9.17516	-0.08
3.9209	0	9.18156	-0.08
3.9212	0	9.1815	-0.08
3.8628	0	9.19563	-0.08
3.8532	0	9.19796	-0.08
3.8481	0	9.19919	-0.08
3.8514	0	9.19838	-0.08
3.818	0	9.20647	-0.08
3.7884	0	9.21367	-0.08
3.8258	0	9.2046	-0.08
3.8395	0	9.20126	-0.08
5.9458	0.5714	8.68121	-0.08
-31.6615	0	35.30988	-0.079
3.989	0	9.16514	-0.079
4.0008	0	9.1623	-0.079
4.0035	0	9.16166	-0.079
4.0105	0	9.15997	-0.079
4.0144	0	9.15904	-0.079
3.9912	0	9.16462	-0.079
3.991	0	9.16467	-0.079
3.9909	0	9.16468	-0.079
3.9894	0	9.16506	-0.079
3.9844	0	9.16625	-0.079
3.991	0	9.16466	-0.079
3.9947	0	9.16377	-0.079
3.9873	0	9.16557	-0.079
3.9565	0	9.17299	-0.079
3.95	0	9.17455	-0.079
3.9515	0	9.17418	-0.079
3.9384	0	9.17733	-0.079
3.9242	0	9.18077	-0.079
3.8844	0	9.1904	-0.079
3.8501	0	9.1987	-0.079
3.8495	0	9.19883	-0.079
3.8187	0	9.2063	-0.079
3.7735	0	9.21729	-0.079
3.767	0	9.21886	-0.079
3.7701	0	9.2181	-0.079
3.7709	0	9.21792	-0.079
3.7776	0.0011	9.21623	-0.079
3.7767	0	9.21652	-0.079
3.7944	0	9.2122	-0.079
3.7972	0	9.21152	-0.079
3.8059	0	9.20941	-0.079
3.8177	0	9.20654	-0.079
3.8301	0	9.20353	-0.079
3.8546	0	9.19761	-0.079
3.8673	0	9.19453	-0.079
-31.4194	0	34.86102	-0.078
-31.1964	0	34.45453	-0.078
-28.8112	0	30.49291	-0.078
3.9974	0	9.16312	-0.078
3.9939	0	9.16396	-0.078
3.9878	0	9.16545	-0.078
3.979	0	9.16756	-0.078
3.9513	0	9.17424	-0.078
3.9468	0	9.17531	-0.078
3.9467	0	9.17535	-0.078
3.9327	0	9.17872	-0.078
3.8999	0	9.18665	-0.078
3.8539	0	9.19779	-0.078
3.8498	0	9.19878	-0.078
3.8496	0	9.19883	-0.078
3.8514	0	9.19839	-0.078
3.8268	0	9.20434	-0.078
3.8253	0	9.20471	-0.078
3.8232	0	9.20523	-0.078
3.8175	0.0012	9.20652	-0.078
3.8189	0	9.20626	-0.078
3.8064	0	9.20929	-0.078
3.7655	0	9.21924	-0.078
3.7618	0	9.22013	-0.078
3.7684	0	9.21852	-0.078
3.7774	0	9.21635	-0.078
3.7985	0	9.21122	-0.078
3.8069	0	9.20917	-0.078
3.8078	0	9.20895	-0.078
3.8118	0	9.20798	-0.078
3.8266	0	9.20439	-0.078
3.8334	0	9.20275	-0.078
3.8556	0	9.19736	-0.078
-29.6514	0	31.81194	-0.077
-27.6024	0	28.7268	-0.077
-4.1373	0	11.54032	-0.077
3.9843	0	9.16627	-0.077
3.9899	0	9.16492	-0.077
3.9967	0	9.1633	-0.077
4.0077	0	9.16064	-0.077
4.0109	0	9.15988	-0.077
4.0112	0	9.1598	-0.077
4.0135	0	9.15926	-0.077
3.9976	0	9.16308	-0.077
3.995	0	9.1637	-0.077
3.9824	0	9.16673	-0.077
3.9915	0	9.16454	-0.077
3.9911	0	9.16463	-0.077
3.9771	0	9.16801	-0.077
3.9693	0	9.16989	-0.077
3.966	0	9.17069	-0.077
3.9572	0	9.17281	-0.077
3.9276	0	9.17995	-0.077
3.9113	0.0012	9.18383	-0.077
3.8861	0	9.18997	-0.077
3.8572	0	9.19699	-0.077
3.8486	0	9.19906	-0.077
3.8503	0	9.19864	-0.077
3.8306	0	9.20342	-0.077
3.7715	0	9.21778	-0.077
3.7678	0	9.21867	-0.077
3.7772	0	9.2164	-0.077
3.7861	0	9.21423	-0.077
3.7987	0	9.21115	-0.077
3.8463	0	9.19963	-0.077
3.8579	0	9.19682	-0.077
3.8609	0	9.19607	-0.077
-28.5074	0	30.03484	-0.076
-26.9947	0	27.89327	-0.076
4.0047	0	9.16137	-0.076
4.012	0	9.1596	-0.076
4.007	0	9.16081	-0.076
4.0086	0	9.16044	-0.076
4.0151	0	9.15886	-0.076
4.0125	0	9.15948	-0.076
3.983	0	9.16659	-0.076
3.971	0	9.16948	-0.076
3.9702	0	9.16967	-0.076
3.9698	0	9.16976	-0.076
3.9387	0	9.17727	-0.076
3.8855	0	9.19012	-0.076
3.8855	0	9.19013	-0.076
3.8514	0	9.19837	-0.076
3.8301	0	9.20353	-0.076
3.8283	0	9.20399	-0.076
3.8253	0.0011	9.20463	-0.076
3.7663	0.0011	9.21898	-0.076
3.7568	0	9.22134	-0.076
3.76	0	9.22058	-0.076
3.779	0	9.21595	-0.076
3.783	0	9.21499	-0.076
3.7972	0	9.21153	-0.076
3.7991	0	9.21106	-0.076
3.8002	0	9.21081	-0.076
3.8109	0	9.2082	-0.076
3.9918	0	9.16448	-0.075
3.9982	0	9.16294	-0.075
4.0042	0	9.16148	-0.075
4.0043	0	9.16146	-0.075
4.0135	0	9.15925	-0.075
3.9889	0	9.16518	-0.075
3.9949	0	9.16373	-0.075
3.9345	0.0012	9.17821	-0.075
3.9265	0	9.18023	-0.075
3.9216	0	9.18139	-0.075
3.9226	0	9.18117	-0.075
3.8585	0	9.19667	-0.075
3.8384	0	9.20154	-0.075
3.8382	0	9.20157	-0.075
3.7816	0	9.21532	-0.075
3.7747	0	9.21699	-0.075
3.7668	0	9.21891	-0.075
3.7567	0	9.22138	-0.075
3.7595	0	9.22068	-0.075
3.7598	0	9.22061	-0.075
3.7596	0	9.22067	-0.075
3.7606	0	9.22042	-0.075
3.7715	0	9.21778	-0.075
3.7896	0	9.21336	-0.075
3.7992	0	9.21105	-0.075
3.8107	0	9.20825	-0.075
3.8152	0	9.20716	-0.075
5.865	0	8.7316	-0.075
5.947	6.0988	8.37267	-0.075
5.9531	12.5958	8.02306	-0.075
3.9858	0	9.16593	-0.074
4.007	0	9.1608	-0.074
4.0122	0	9.15955	-0.074
4.0032	0	9.16173	-0.074
4.0081	0	9.16056	-0.074
4.0151	0	9.15887	-0.074
3.9956	0	9.16355	-0.074
3.9831	0	9.16657	-0.074
3.9855	0	9.166	-0.074
3.9869	0	9.16566	-0.074
3.9953	0	9.16363	-0.074
3.9373	0	9.17762	-0.074
3.9333	0	9.17858	-0.074
3.8892	0	9.18923	-0.074
3.8306	0	9.20343	-0.074
3.8154	0	9.20712	-0.074
3.8063	0	9.20932	-0.074
3.7736	0	9.21727	-0.074
3.774	0	9.21717	-0.074
3.7697	0	9.21822	-0.074
5.909	0.0027	8.7217	-0.074
5.9323	0.0041	8.71648	-0.074
5.9501	12.6007	8.0234	-0.074
3.9862	0	9.16581	-0.073
4.0129	0	9.15939	-0.073
4.0103	0	9.16003	-0.073
4.0035	0	9.16165	-0.073
3.9935	0	9.16405	-0.073
3.9915	0	9.16455	-0.073
3.9953	0	9.16363	-0.073
3.9908	0	9.16471	-0.073
3.9464	0	9.17541	-0.073
3.9482	0	9.17498	-0.073
3.9266	0	9.18019	-0.073
3.924	0	9.18081	-0.073
3.9017	0	9.18621	-0.073
3.8465	0	9.19958	-0.073
3.8249	0	9.2048	-0.073
3.8054	0	9.20954	-0.073
3.7638	0	9.21965	-0.073
3.7609	0	9.22035	-0.073
3.7575	0	9.22117	-0.073
3.7592	0	9.22076	-0.073
3.7776	0	9.2163	-0.073
3.7867	0	9.21409	-0.073
3.8053	0	9.20956	-0.073
3.8101	0	9.2084	-0.073
3.8112	0	9.20814	-0.073
3.8222	0	9.20546	-0.073
3.836	0	9.20212	-0.073
3.8581	0	9.19676	-0.073
-31.9008	0	35.76138	-0.072
-29.9166	0	32.24494	-0.072
-7.1598	0	12.69261	-0.072
4.009	0	9.16032	-0.072
4.0098	0	9.16014	-0.072
4.0114	0	9.15975	-0.072
4.0125	0.0013	9.15943	-0.072
4.0126	0	9.15947	-0.072
4.0036	0	9.16164	-0.072
4.0045	0	9.16142	-0.072
3.9914	0	9.16457	-0.072
3.9852	0	9.16607	-0.072
3.9818	0	9.16688	-0.072
3.9882	0	9.16534	-0.072
3.9957	0	9.16355	-0.072
3.9329	0	9.17868	-0.072
3.9224	0	9.18121	-0.072
3.8837	0	9.19056	-0.072
3.8514	0	9.19839	-0.072
3.8295	0	9.20368	-0.072
3.8277	0	9.20414	-0.072
3.8165	0	9.20685	-0.072
3.8155	0	9.20709	-0.072
3.8198	0	9.20604	-0.072
3.8198	0	9.20604	-0.072
3.805	0	9.20964	-0.072
3.759	0	9.22082	-0.072
3.7772	0	9.21638	-0.072
3.8037	0	9.20994	-0.072
3.809	0	9.20867	-0.072
3.8536	0	9.19786	-0.072
5.8191	0	8.7418	-0.072
5.8936	0	8.72528	-0.072
5.9197	0.0026	8.71935	-0.072
3.9941	0	9.16392	-0.071
4.0054	0	9.16121	-0.071
4.0113	0	9.15978	-0.071
4.0133	0	9.1593	-0.071
4.0136	0	9.15922	-0.071
3.9932	0	9.16414	-0.071
3.9711	0	9.16945	-0.071
3.9697	0.0012	9.16973	-0.071
3.9705	0	9.1696	-0.071
3.9472	0	9.17521	-0.071
3.9489	0	9.17482	-0.071
3.9508	0	9.17436	-0.071
3.927	0	9.18009	-0.071
3.9277	0	9.17992	-0.071
3.9235	0	9.18095	-0.071
3.9144	0	9.18315	-0.071
3.9091	0	9.18441	-0.071
3.9077	0	9.18476	-0.071
3.8524	0	9.19815	-0.071
3.8385	0	9.20152	-0.071
3.8334	0	9.20276	-0.071
3.8195	0	9.20612	-0.071
3.8201	0	9.20598	-0.071
3.8048	0	9.20968	-0.071
3.8055	0	9.20951	-0.071
3.8032	0	9.21007	-0.071
3.7735	0	9.21729	-0.071
3.7677	0	9.2187	-0.071
3.7729	0	9.21743	-0.071
3.7795	0	9.21583	-0.071
3.7804	0	9.21561	-0.071
3.8121	0	9.20792	-0.071
3.8142	0	9.2074	-0.071
3.8352	0	9.20231	-0.071
-10.1668	0	14.03267	-0.07
3.9974	0	9.16313	-0.07
4.0049	0	9.16132	-0.07
3.9911	0	9.16465	-0.07
3.9821	0	9.16681	-0.07
3.9639	0.0013	9.17111	-0.07
3.9603	0	9.17207	-0.07
3.8722	0	9.19335	-0.07
3.8503	0	9.19865	-0.07
3.8498	0	9.19877	-0.07
3.8503	0	9.19866	-0.07
3.8518	0	9.1983	-0.07
3.8407	0	9.20098	-0.07
3.8323	0	9.20302	-0.07
3.8021	0	9.21034	-0.07
3.7604	0	9.22047	-0.07
3.7612	0	9.22027	-0.07
3.7592	0	9.22077	-0.07
3.7785	0	9.21607	-0.07
3.7836	0	9.21484	-0.07
3.7997	0	9.21093	-0.07
3.8149	0	9.20724	-0.07
3.828	0	9.20406	-0.07
3.8587	0	9.19661	-0.07
5.9482	7.9005	8.27432	-0.07
-25.658	0	26.1774	-0.069
-24.3314	0	24.62025	-0.069
4.0111	0	9.15983	-0.069
4.0044	0	9.16144	-0.069
4.0027	0	9.16184	-0.069
4.0028	0	9.16182	-0.069
3.982	0	9.16683	-0.069
3.9902	0	9.16486	-0.069
3.9924	0	9.16434	-0.069
3.9944	0	9.16384	-0.069
3.9881	0.0013	9.1653	-0.069
3.9687	0	9.17003	-0.069
3.9664	0	9.1706	-0.069
3.9232	0	9.18101	-0.069
3.8957	0	9.18767	-0.069
3.8485	0	9.19908	-0.069
3.843	0	9.20041	-0.069
3.8279	0	9.20408	-0.069
3.8052	0	9.2096	-0.069
3.7592	0	9.22076	-0.069
3.7717	0	9.21772	-0.069
3.7834	0	9.21488	-0.069
3.7877	0	9.21384	-0.069
3.7976	0	9.21142	-0.069
3.7985	0	9.21122	-0.069
3.8	0	9.21086	-0.069
3.8106	0	9.20828	-0.069
3.8157	0	9.20703	-0.069
3.8174	0	9.20664	-0.069
3.8177	0	9.20656	-0.069
3.8438	0	9.20023	-0.069
3.8476	0	9.19931	-0.069
3.8569	0	9.19706	-0.069
-30.4384	0	33.12125	-0.068
-24.6596	-0.0465	25.00231	-0.068
3.9958	0	9.16351	-0.068
4.0112	0	9.1598	-0.068
4.012	0	9.15961	-0.068
3.9934	0	9.16408	-0.068
3.9944	0	9.16384	-0.068
3.9833	0	9.16652	-0.068
3.9715	0	9.16937	-0.068
3.9508	0	9.17436	-0.068
3.9471	0	9.17524	-0.068
3.8801	0	9.19143	-0.068
3.849	0	9.19895	-0.068
3.8434	0	9.20033	-0.068
3.818	0	9.20648	-0.068
3.7653	0	9.21929	-0.068
3.7662	0	9.21905	-0.068
3.7709	0	9.21792	-0.068
3.7722	0	9.21761	-0.068
3.7726	0	9.2175	-0.068
3.7769	0	9.21646	-0.068
3.7827	0	9.21505	-0.068
4.5654	0	9.02811	-0.068
4.0027	0	9.16184	-0.067
4.0122	0	9.15956	-0.067
4.0134	0	9.15926	-0.067
4.0061	0	9.16103	-0.067
4.0029	0	9.16179	-0.067
4.0132	0	9.15933	-0.067
4.0056	0	9.16116	-0.067
3.9814	0	9.16697	-0.067
3.9473	0	9.1752	-0.067
3.9464	0	9.17541	-0.067
3.9261	0	9.18031	-0.067
3.9267	0	9.18017	-0.067
3.8727	0	9.19321	-0.067
3.8658	0	9.19491	-0.067
3.8512	0.0012	9.19836	-0.067
3.8494	0	9.19887	-0.067
3.8499	0	9.19875	-0.067
3.8501	0	9.1987	-0.067
3.8266	0	9.20438	-0.067
3.806	0	9.20939	-0.067
3.806	0	9.2094	-0.067
3.8035	0	9.21	-0.067
3.7807	0	9.21554	-0.067
3.7665	0	9.21899	-0.067
3.7597	0	9.22065	-0.067
3.7636	0	9.21969	-0.067
3.7759	0	9.2167	-0.067
3.7777	0	9.21628	-0.067
3.7912	0	9.21298	-0.067
3.8095	0	9.20854	-0.067
3.8386	0	9.20149	-0.067
3.8408	0	9.20095	-0.067
5.9476	7.6805	8.28635	-0.067
3.9908	0	9.16471	-0.066
4.0128	0	9.15942	-0.066
4.0105	0	9.15996	-0.066
4.0035	0	9.16166	-0.066
3.9907	0	9.16473	-0.066
3.9816	0	9.16692	-0.066
3.9887	0	9.16523	-0.066
3.9947	0	9.16376	-0.066
3.9708	0	9.16953	-0.066
3.9471	0	9.17525	-0.066
3.9236	0	9.18091	-0.066
3.8718	0	9.19344	-0.066
3.8703	0	9.1938	-0.066
3.8497	0	9.19879	-0.066
3.8523	0	9.19816	-0.066
3.8048	0	9.20969	-0.066
3.7928	0	9.2126	-0.066
3.7739	0	9.2172	-0.066
3.7632	0	9.2198	-0.066
3.7705	0	9.21801	-0.066
3.7725	0	9.21754	-0.066
3.7785	0	9.21608	-0.066
3.7793	0	9.21587	-0.066
3.8078	0	9.20896	-0.066
3.8091	0	9.20865	-0.066
3.8106	0	9.20828	-0.066
3.8232	0	9.20523	-0.066
5.943	0.0133	8.71359	-0.066
5.9492	8.093	8.2637	-0.066
-23.2063	0	23.40232	-0.065
-1.4694	0	10.65778	-0.065
3.9884	0	9.1653	-0.065
3.9986	0	9.16284	-0.065
4.0119	0	9.15963	-0.065
4.0061	0	9.16103	-0.065
3.9931	0	9.16416	-0.065
3.9839	0	9.16637	-0.065
3.9819	0	9.16687	-0.065
3.9699	0	9.16975	-0.065
3.9482	0	9.17498	-0.065
3.9477	0	9.17509	-0.065
3.9492	0	9.17474	-0.065
3.9377	0	9.17751	-0.065
3.9351	0	9.17814	-0.065
3.921	0	9.18154	-0.065
3.8973	0	9.18727	-0.065
3.8927	0	9.18838	-0.065
3.8761	0	9.19239	-0.065
3.8407	0	9.20096	-0.065
3.8412	0	9.20086	-0.065
3.827	0	9.20429	-0.065
3.8056	0	9.2095	-0.065
3.7715	0	9.21776	-0.065
3.7768	0	9.21648	-0.065
3.7791	0	9.21592	-0.065
3.7825	0	9.2151	-0.065
3.7839	0	9.21477	-0.065
3.7961	0	9.2118	-0.065
3.7977	0	9.21142	-0.065
3.8004	0	9.21075	-0.065
3.8027	0	9.2102	-0.065
3.8147	0	9.20728	-0.065
3.818	0	9.20649	-0.065
3.8443	0	9.20011	-0.065
-32.8279	0	37.5886	-0.064
-30.9474	0	34.00838	-0.064
-25.3389	0	25.79011	-0.064
-23.4456	0	23.65387	-0.064
3.9948	0	9.16375	-0.064
3.9913	0	9.1646	-0.064
3.9817	0	9.16691	-0.064
3.9954	0.0012	9.16354	-0.064
3.9908	0	9.16472	-0.064
3.9893	0	9.16507	-0.064
3.9736	0	9.16886	-0.064
3.9474	0	9.17517	-0.064
3.9381	0	9.17741	-0.064
3.9312	0	9.17908	-0.064
3.9259	0	9.18035	-0.064
3.923	0	9.18106	-0.064
3.8424	0	9.20056	-0.064
3.7924	0	9.21269	-0.064
3.7766	0	9.21654	-0.064
3.7651	0	9.21932	-0.064
3.7598	0	9.22062	-0.064
3.7786	0	9.21605	-0.064
3.7788	0.0011	9.21592	-0.064
3.779	0	9.21596	-0.064
3.7771	0	9.21641	-0.064
3.7976	0	9.21144	-0.064
3.7994	0	9.21099	-0.064
3.9867	0	9.16569	-0.063
4.013	0	9.15937	-0.063
4.0046	0	9.16138	-0.063
4.0055	0	9.16118	-0.063
3.9961	0	9.16344	-0.063
3.9826	0	9.16669	-0.063
3.9721	0	9.16922	-0.063
3.971	0	9.16948	-0.063
3.9527	0.0013	9.17381	-0.063
3.9464	0	9.17542	-0.063
3.929	0	9.17962	-0.063
3.9274	0	9.18001	-0.063
3.875	0	9.19267	-0.063
3.8716	0	9.19349	-0.063
3.8716	0	9.19349	-0.063
3.844	0	9.20017	-0.063
3.8384	0	9.20153	-0.063
3.8279	0	9.20409	-0.063
3.8156	0	9.20705	-0.063
3.7602	0	9.22053	-0.063
3.7604	0	9.22047	-0.063
3.7629	0	9.21987	-0.063
3.7797	0.0011	9.21571	-0.063
3.7856	0	9.21435	-0.063
3.8169	0	9.20676	-0.063
5.9309	0.0026	8.71687	-0.063
5.9537	12.5905	8.02323	-0.063
3.9873	0	9.16556	-0.062
3.9914	0	9.16458	-0.062
3.9894	0	9.16505	-0.062
3.9916	0	9.16453	-0.062
3.9844	0	9.16625	-0.062
3.9708	0	9.16952	-0.062
3.965	0	9.17092	-0.062
3.9506	0	9.17441	-0.062
3.9406	0	9.17681	-0.062
3.8874	0	9.18967	-0.062
3.8827	0	9.19081	-0.062
3.8486	0	9.19907	-0.062
3.8478	0	9.19926	-0.062
3.8165	0	9.20684	-0.062
3.7999	0	9.21087	-0.062
3.786	0	9.21425	-0.062
3.7582	0	9.22102	-0.062
3.7622	0	9.22003	-0.062
3.763	0	9.21985	-0.062
3.778	0	9.21619	-0.062
3.783	0	9.21498	-0.062
3.7871	0	9.21399	-0.062
3.7995	0	9.21097	-0.062
3.799	0	9.21109	-0.062
3.7987	0	9.21115	-0.062
3.8164	0	9.20688	-0.062
3.8418	0	9.20072	-0.062
-32.1155	0	36.17346	-0.061
-13.6019	0	15.8555	-0.061
3.9989	0	9.16277	-0.061
4.0041	0	9.1615	-0.061
4.0075	0	9.1607	-0.061
4.0078	0	9.16062	-0.061
3.9939	0.0012	9.1639	-0.061
3.9325	0	9.17878	-0.061
3.8497	0	9.1988	-0.061
3.8432	0	9.20036	-0.061
3.8037	0	9.20996	-0.061
3.7912	0	9.21298	-0.061
3.7597	0	9.22064	-0.061
3.7785	0	9.21608	-0.061
3.7928	0	9.21261	-0.061
3.8199	0	9.20602	-0.061
5.7311	0	8.76139	-0.061
4.0082	0	9.16053	-0.06
4.0125	0	9.1595	-0.06
3.9705	0	9.16961	-0.06
3.947	0	9.17526	-0.06
3.95	0	9.17456	-0.06
3.9521	0	9.17404	-0.06
3.9423	0	9.1764	-0.06
3.9233	0	9.18099	-0.06
3.8809	0	9.19123	-0.06
3.7818	0	9.21526	-0.06
3.7617	0	9.22015	-0.06
3.7654	0	9.21926	-0.06
3.7788	0	9.21599	-0.06
3.7848	0	9.21454	-0.06
3.8192	0	9.20619	-0.06
-32.349	0	36.62908	-0.059
4.0044	0	9.16145	-0.059
4.0053	0	9.16123	-0.059
3.989	0	9.16514	-0.059
3.9692	0	9.16992	-0.059
3.9516	0	9.17415	-0.059
3.8265	0.0011	9.20434	-0.059
3.7977	0	9.21141	-0.059
3.7642	0.0011	9.21949	-0.059
3.773	0	9.21742	-0.059
3.7742	0	9.21712	-0.059
