Time (hh:mm:ss)	[CH4] dissolved with water vapour (ppm)
2024/07/03 12:49:29	3.05186
2024/07/03 12:49:30	2.97597
2024/07/03 12:49:31	2.9947
2024/07/03 12:49:32	2.91417
2024/07/03 12:49:33	2.96478
2024/07/03 12:49:34	3.10069
2024/07/03 12:49:35	2.86153
2024/07/03 12:49:36	3.06338
2024/07/03 12:49:37	3.11264
2024/07/03 12:49:38	2.89785
2024/07/03 12:49:39	3.1506
2024/07/03 12:49:40	3.13473
2024/07/03 12:49:41	2.92102
2024/07/03 12:49:42	3.06212
2024/07/03 12:49:43	3.08642
2024/07/03 12:49:44	2.99121
2024/07/03 12:49:45	3.01329
2024/07/03 12:49:46	3.13556
2024/07/03 12:49:47	3.12947
2024/07/03 12:49:48	3.1169
2024/07/03 12:49:49	2.97172
2024/07/03 12:49:50	3.03892
2024/07/03 12:49:51	3.03916
2024/07/03 12:49:52	2.96606
2024/07/03 12:49:53	3.00116
2024/07/03 12:49:54	2.92229
2024/07/03 12:49:55	2.92225
2024/07/03 12:49:56	2.92245
2024/07/03 12:49:57	3.04336
2024/07/03 12:49:58	3.04291
2024/07/03 12:49:59	2.98572
2024/07/03 12:50:00	3.10713
2024/07/03 12:50:01	2.9911
2024/07/03 12:50:02	3.12457
2024/07/03 12:50:03	3.12431
2024/07/03 12:50:04	3.12974
2024/07/03 12:50:05	3.12957
2024/07/03 12:50:06	3.04987
2024/07/03 12:50:07	3.13939
2024/07/03 12:50:08	3.00506
2024/07/03 12:50:09	2.97004
2024/07/03 12:50:10	2.88301
2024/07/03 12:50:11	2.92333
2024/07/03 12:50:12	3.04318
2024/07/03 12:50:13	3.04271
2024/07/03 12:50:14	2.98352
2024/07/03 12:50:15	2.9835
2024/07/03 12:50:16	3.10207
2024/07/03 12:50:17	3.10265
2024/07/03 12:50:18	2.96845
2024/07/03 12:50:19	2.96922
2024/07/03 12:50:20	2.85452
2024/07/03 12:50:21	2.85417
2024/07/03 12:50:22	3.01251
2024/07/03 12:50:23	2.94931
2024/07/03 12:50:24	2.86703
2024/07/03 12:50:25	3.03244
2024/07/03 12:50:26	3.11259
2024/07/03 12:50:27	2.94665
2024/07/03 12:50:28	2.90469
2024/07/03 12:50:29	2.98796
2024/07/03 12:50:30	2.92645
2024/07/03 12:50:31	2.99531
2024/07/03 12:50:32	2.99429
2024/07/03 12:50:33	2.99542
2024/07/03 12:50:34	2.9499
2024/07/03 12:50:35	2.95004
2024/07/03 12:50:36	2.81817
2024/07/03 12:50:37	2.84137
2024/07/03 12:50:38	3.0785
2024/07/03 12:50:39	2.99709
2024/07/03 12:50:40	2.99045
2024/07/03 12:50:41	3.03251
2024/07/03 12:50:42	3.14132
2024/07/03 12:50:43	3.01914
2024/07/03 12:50:44	2.88837
2024/07/03 12:50:45	2.88867
2024/07/03 12:50:46	2.85353
2024/07/03 12:50:47	2.97316
2024/07/03 12:50:48	2.88
2024/07/03 12:50:49	2.8939
2024/07/03 12:50:50	2.85271
2024/07/03 12:50:51	3.10593
2024/07/03 12:50:52	2.9844
2024/07/03 12:50:53	3.11586
2024/07/03 12:50:54	2.9438
2024/07/03 12:50:55	3.0954
2024/07/03 12:50:56	3.0967
2024/07/03 12:50:57	2.84722
2024/07/03 12:50:58	2.84723
2024/07/03 12:50:59	2.9526
2024/07/03 12:51:00	2.95294
2024/07/03 12:51:01	2.95226
2024/07/03 12:51:02	3.0178
2024/07/03 12:51:03	3.01746
2024/07/03 12:51:04	2.90627
2024/07/03 12:51:05	2.97061
2024/07/03 12:51:06	2.89234
2024/07/03 12:51:07	3.10131
2024/07/03 12:51:08	3.21681
2024/07/03 12:51:09	2.9908
2024/07/03 12:51:10	2.87315
2024/07/03 12:51:11	2.97594
2024/07/03 12:51:12	3.15883
2024/07/03 12:51:13	3.15848
2024/07/03 12:51:14	2.73438
2024/07/03 12:51:15	3.04949
2024/07/03 12:51:16	3.04974
2024/07/03 12:51:17	3.04172
2024/07/03 12:51:18	3.04206
2024/07/03 12:51:19	3.04187
2024/07/03 12:51:20	2.99143
2024/07/03 12:51:21	2.99137
2024/07/03 12:51:22	0.650095
2024/07/03 12:51:23	3.04716
2024/07/03 12:51:24	3.0465
2024/07/03 12:51:25	3.00398
2024/07/03 12:51:26	3.07368
2024/07/03 12:51:27	2.8616
2024/07/03 12:51:28	2.86154
2024/07/03 12:51:29	2.73972
2024/07/03 12:51:30	2.97942
2024/07/03 12:51:31	3.13594
2024/07/03 12:51:32	3.13621
2024/07/03 12:51:33	3.13574
2024/07/03 12:51:34	3.0293
2024/07/03 12:51:35	3.04918
2024/07/03 12:51:36	3.11725
2024/07/03 12:51:37	3.0111
2024/07/03 12:51:38	2.89222
2024/07/03 12:51:39	2.90533
2024/07/03 12:51:40	3.07013
2024/07/03 12:51:41	2.43327
2024/07/03 12:51:42	3.01047
2024/07/03 12:51:43	3.0102
2024/07/03 12:51:44	3.06383
2024/07/03 12:51:45	3.06356
2024/07/03 12:51:46	2.94073
2024/07/03 12:51:47	3.07169
2024/07/03 12:51:48	3.05284
2024/07/03 12:51:49	2.97775
2024/07/03 12:51:50	3.03836
2024/07/03 12:51:51	3.05349
2024/07/03 12:51:52	3.05392
2024/07/03 12:51:53	3.13576
2024/07/03 12:51:54	2.96962
2024/07/03 12:51:55	2.1802
2024/07/03 12:51:56	3.06138
2024/07/03 12:51:57	2.99648
2024/07/03 12:51:58	2.96398
2024/07/03 12:51:59	2.1574
2024/07/03 12:52:00	2.15751
2024/07/03 12:52:01	2.94892
2024/07/03 12:52:02	3.08796
2024/07/03 12:52:03	2.99591
2024/07/03 12:52:04	2.99618
2024/07/03 12:52:05	2.84833
2024/07/03 12:52:06	2.89376
2024/07/03 12:52:07	2.89419
2024/07/03 12:52:08	3.09267
2024/07/03 12:52:09	3.12147
2024/07/03 12:52:10	3.08053
2024/07/03 12:52:11	2.85536
2024/07/03 12:52:12	2.85492
2024/07/03 12:52:13	2.89512
2024/07/03 12:52:14	2.95932
2024/07/03 12:52:15	2.95933
2024/07/03 12:52:16	2.95893
2024/07/03 12:52:17	3.12304
2024/07/03 12:52:18	3.12215
2024/07/03 12:52:19	2.91165
2024/07/03 12:52:20	3.05795
2024/07/03 12:52:21	2.9444
2024/07/03 12:52:22	3.08362
2024/07/03 12:52:23	3.08462
2024/07/03 12:52:24	3.04134
2024/07/03 12:52:25	3.01469
2024/07/03 12:52:26	3.08825
2024/07/03 12:52:27	3.0883
2024/07/03 12:52:28	2.83894
2024/07/03 12:52:29	2.83952
2024/07/03 12:52:30	2.84002
2024/07/03 12:52:31	3.01365
2024/07/03 12:52:32	2.97859
2024/07/03 12:52:33	3.075
2024/07/03 12:52:34	3.07496
2024/07/03 12:52:35	2.88272
2024/07/03 12:52:36	3.03344
2024/07/03 12:52:37	3.03301
2024/07/03 12:52:38	2.98594
2024/07/03 12:52:39	2.98611
2024/07/03 12:52:40	3.0768
2024/07/03 12:52:41	3.07674
2024/07/03 12:52:42	3.07625
2024/07/03 12:52:43	3.03688
2024/07/03 12:52:44	2.99002
2024/07/03 12:52:45	6.99001
2024/07/03 12:52:46	3.00683
2024/07/03 12:52:47	3.00699
2024/07/03 12:52:48	2.94474
2024/07/03 12:52:49	3.07968
2024/07/03 12:52:50	2.96295
2024/07/03 12:52:51	2.98899
2024/07/03 12:52:52	2.92546
2024/07/03 12:52:53	2.92668
2024/07/03 12:52:54	2.92704
2024/07/03 12:52:55	2.90118
2024/07/03 12:52:56	2.85608
2024/07/03 12:52:57	3.04999
2024/07/03 12:52:58	3.04987
2024/07/03 12:52:59	3.08378
2024/07/03 12:53:00	2.80141
2024/07/03 12:53:01	2.79445
2024/07/03 12:53:02	2.79439
2024/07/03 12:53:03	2.7945
2024/07/03 12:53:04	2.79457
2024/07/03 12:53:05	3.05488
2024/07/03 12:53:06	2.90576
2024/07/03 12:53:07	2.9058
2024/07/03 12:53:08	2.90866
2024/07/03 12:53:09	3.05626
2024/07/03 12:53:10	3.00674
2024/07/03 12:53:11	3.01445
2024/07/03 12:53:12	2.91458
2024/07/03 12:53:13	3.00199
2024/07/03 12:53:14	3.00142
2024/07/03 12:53:15	3.0495
2024/07/03 12:53:16	3.03264
2024/07/03 12:53:17	2.99656
2024/07/03 12:53:18	2.90197
2024/07/03 12:53:19	3.04156
2024/07/03 12:53:20	2.84948
2024/07/03 12:53:21	2.80886
2024/07/03 12:53:22	3.08173
2024/07/03 12:53:23	3.20448
2024/07/03 12:53:24	3.20468
2024/07/03 12:53:25	3.15367
2024/07/03 12:53:26	3.09655
2024/07/03 12:53:27	3.0924
2024/07/03 12:53:28	3.1898
2024/07/03 12:53:29	3.18143
2024/07/03 12:53:30	2.99251
2024/07/03 12:53:31	3.08242
2024/07/03 12:53:32	2.96286
2024/07/03 12:53:33	2.96351
2024/07/03 12:53:34	3.0733
2024/07/03 12:53:35	2.97533
2024/07/03 12:53:36	2.96277
2024/07/03 12:53:37	3.0722
2024/07/03 12:53:38	3.01064
2024/07/03 12:53:39	3.07701
2024/07/03 12:53:40	2.86719
2024/07/03 12:53:41	2.92171
2024/07/03 12:53:42	2.91183
2024/07/03 12:53:43	2.98845
2024/07/03 12:53:44	2.80396
2024/07/03 12:53:45	3.07294
2024/07/03 12:53:46	3.04589
2024/07/03 12:53:47	3.01994
2024/07/03 12:53:48	2.93069
2024/07/03 12:53:49	2.92973
2024/07/03 12:53:50	3.01749
2024/07/03 12:53:51	2.97862
2024/07/03 12:53:52	2.82922
2024/07/03 12:53:53	2.98676
2024/07/03 12:53:54	2.98637
2024/07/03 12:53:55	2.95221
2024/07/03 12:53:56	3.03524
2024/07/03 12:53:57	2.8171
2024/07/03 12:53:58	2.83953
2024/07/03 12:53:59	2.98357
2024/07/03 12:54:00	3.00003
2024/07/03 12:54:01	3.00048
2024/07/03 12:54:02	2.82272
2024/07/03 12:54:03	3.12724
2024/07/03 12:54:04	3.20082
2024/07/03 12:54:05	2.56149
2024/07/03 12:54:06	2.72383
2024/07/03 12:54:07	3.1015
2024/07/03 12:54:08	2.8603
2024/07/03 12:54:09	2.82402
2024/07/03 12:54:10	2.82423
2024/07/03 12:54:11	2.82466
2024/07/03 12:54:12	2.9804
2024/07/03 12:54:13	2.98888
2024/07/03 12:54:14	2.99103
2024/07/03 12:54:15	2.99118
2024/07/03 12:54:16	2.885
2024/07/03 12:54:17	2.91915
2024/07/03 12:54:18	2.97098
2024/07/03 12:54:19	2.95323
2024/07/03 12:54:20	2.95331
2024/07/03 12:54:21	2.98508
2024/07/03 12:54:22	2.97609
2024/07/03 12:54:23	2.97719
2024/07/03 12:54:24	3.10378
2024/07/03 12:54:25	3.05335
2024/07/03 12:54:26	3.05379
2024/07/03 12:54:27	3.13051
2024/07/03 12:54:28	2.85036
2024/07/03 12:54:29	3.15204
2024/07/03 12:54:30	3.02095
2024/07/03 12:54:31	3.1022
2024/07/03 12:54:32	3.1023
2024/07/03 12:54:33	3.08263
2024/07/03 12:54:34	3.12512
2024/07/03 12:54:35	3.03963
2024/07/03 12:54:36	3.18339
2024/07/03 12:54:37	3.00945
2024/07/03 12:54:38	3.00908
2024/07/03 12:54:39	3.00951
2024/07/03 12:54:40	3.00929
2024/07/03 12:54:41	3.00947
2024/07/03 12:54:42	3.04888
2024/07/03 12:54:43	3.04927
2024/07/03 12:54:44	3.04566
2024/07/03 12:54:45	3.04798
2024/07/03 12:54:46	2.88859
2024/07/03 12:54:47	2.98782
2024/07/03 12:54:48	3.01872
2024/07/03 12:54:49	3.11698
2024/07/03 12:54:50	2.80769
2024/07/03 12:54:51	2.80744
2024/07/03 12:54:52	2.78456
2024/07/03 12:54:53	2.86826
2024/07/03 12:54:54	3.01199
2024/07/03 12:54:55	3.01146
2024/07/03 12:54:56	2.81413
2024/07/03 12:54:57	3.08324
2024/07/03 12:54:58	2.97188
2024/07/03 12:54:59	2.97234
2024/07/03 12:55:00	2.86943
2024/07/03 12:55:01	2.91428
2024/07/03 12:55:02	3.05714
2024/07/03 12:55:03	3.02234
2024/07/03 12:55:04	3.01698
2024/07/03 12:55:05	2.83273
2024/07/03 12:55:06	1.92978
2024/07/03 12:55:07	3.08755
2024/07/03 12:55:08	3.02444
2024/07/03 12:55:09	2.97484
2024/07/03 12:55:10	3.01242
2024/07/03 12:55:11	2.9958
2024/07/03 12:55:12	2.99649
2024/07/03 12:55:13	2.99602
2024/07/03 12:55:14	2.93639
2024/07/03 12:55:15	2.89434
2024/07/03 12:55:16	2.89358
2024/07/03 12:55:17	2.89291
2024/07/03 12:55:18	2.89305
2024/07/03 12:55:19	3.01086
2024/07/03 12:55:20	3.01116
2024/07/03 12:55:21	2.96367
2024/07/03 12:55:22	3.00462
2024/07/03 12:55:23	2.90729
2024/07/03 12:55:24	2.95333
2024/07/03 12:55:25	2.91397
2024/07/03 12:55:26	2.91466
2024/07/03 12:55:27	3.12303
2024/07/03 12:55:28	3.01837
2024/07/03 12:55:29	2.81419
2024/07/03 12:55:30	2.81396
2024/07/03 12:55:31	3.10157
2024/07/03 12:55:32	3.10157
2024/07/03 12:55:33	3.10204
2024/07/03 12:55:34	2.89384
2024/07/03 12:55:35	3.11332
2024/07/03 12:55:36	3.07758
2024/07/03 12:55:37	3.07736
2024/07/03 12:55:38	3.07737
2024/07/03 12:55:39	2.63024
2024/07/03 12:55:40	2.66207
2024/07/03 12:55:41	3.08717
2024/07/03 12:55:42	3.11726
2024/07/03 12:55:43	3.11732
2024/07/03 12:55:44	2.65047
2024/07/03 12:55:45	2.65094
2024/07/03 12:55:46	2.65011
2024/07/03 12:55:47	2.60846
2024/07/03 12:55:48	2.72378
2024/07/03 12:55:49	-1.50487
2024/07/03 12:55:50	2.5084
2024/07/03 12:55:51	3.09042
2024/07/03 12:55:52	3.07649
2024/07/03 12:55:53	2.70618
2024/07/03 12:55:54	2.68651
2024/07/03 12:55:55	2.687
2024/07/03 12:55:56	2.68614
2024/07/03 12:55:57	2.47406
2024/07/03 12:55:58	2.73237
2024/07/03 12:55:59	2.73284
2024/07/03 12:56:00	2.73283
2024/07/03 12:56:01	2.88106
2024/07/03 12:56:02	2.80399
2024/07/03 12:56:03	2.80393
2024/07/03 12:56:04	3.30141
2024/07/03 12:56:05	3.04934
2024/07/03 12:56:06	3.10548
2024/07/03 12:56:07	3.32196
2024/07/03 12:56:08	2.8267
2024/07/03 12:56:09	2.8277
2024/07/03 12:56:10	2.82699
2024/07/03 12:56:11	2.88541
2024/07/03 12:56:12	2.94848
2024/07/03 12:56:13	3.05663
2024/07/03 12:56:14	2.65455
2024/07/03 12:56:15	2.65417
2024/07/03 12:56:16	2.82823
2024/07/03 12:56:17	3.13333
2024/07/03 12:56:18	3.13278
2024/07/03 12:56:19	3.0463
2024/07/03 12:56:20	3.04629
2024/07/03 12:56:21	3.12494
2024/07/03 12:56:22	3.12429
2024/07/03 12:56:23	3.12147
2024/07/03 12:56:24	3.1263
2024/07/03 12:56:25	3.13696
2024/07/03 12:56:26	3.13697
2024/07/03 12:56:27	2.53101
2024/07/03 12:56:28	2.53051
2024/07/03 12:56:29	2.53124
2024/07/03 12:56:30	3.02912
2024/07/03 12:56:31	2.64179
2024/07/03 12:56:32	2.92394
2024/07/03 12:56:33	3.02393
2024/07/03 12:56:34	2.97918
2024/07/03 12:56:35	2.86977
2024/07/03 12:56:36	2.86915
2024/07/03 12:56:37	2.98282
2024/07/03 12:56:38	2.98248
2024/07/03 12:56:39	2.80193
2024/07/03 12:56:40	2.80223
2024/07/03 12:56:41	2.87175
2024/07/03 12:56:42	2.8718
2024/07/03 12:56:43	3.01517
2024/07/03 12:56:44	3.0146
2024/07/03 12:56:45	3.01489
2024/07/03 12:56:46	3.01329
2024/07/03 12:56:47	3.07441
2024/07/03 12:56:48	3.07412
2024/07/03 12:56:49	3.07407
2024/07/03 12:56:50	3.07455
2024/07/03 12:56:51	2.90678
2024/07/03 12:56:52	2.99036
2024/07/03 12:56:53	2.99057
2024/07/03 12:56:54	3.06697
2024/07/03 12:56:55	3.05262
2024/07/03 12:56:56	3.09166
2024/07/03 12:56:57	3.13161
2024/07/03 12:56:58	2.48824
2024/07/03 12:56:59	2.64015
2024/07/03 12:57:00	2.76715
2024/07/03 12:57:01	2.76631
2024/07/03 12:57:02	2.9361
2024/07/03 12:57:03	3.1582
2024/07/03 12:57:04	3.19158
2024/07/03 12:57:05	3.13551
2024/07/03 12:57:06	3.1357
2024/07/03 12:57:07	3.13585
2024/07/03 12:57:08	3.13564
2024/07/03 12:57:09	3.13559
2024/07/03 12:57:10	2.64749
2024/07/03 12:57:11	2.82836
2024/07/03 12:57:12	2.89695
2024/07/03 12:57:13	2.50148
2024/07/03 12:57:14	2.34351
2024/07/03 12:57:15	2.34314
2024/07/03 12:57:16	2.34347
2024/07/03 12:57:17	3.17835
2024/07/03 12:57:18	3.1335
2024/07/03 12:57:19	3.13334
2024/07/03 12:57:20	3.02343
2024/07/03 12:57:21	3.02351
2024/07/03 12:57:22	2.96569
2024/07/03 12:57:23	3.01595
2024/07/03 12:57:24	3.01524
2024/07/03 12:57:25	3.32821
2024/07/03 12:57:26	3.32765
2024/07/03 12:57:27	3.02795
2024/07/03 12:57:28	2.63299
2024/07/03 12:57:29	2.63284
2024/07/03 12:57:30	3.1249
2024/07/03 12:57:31	3.08792
2024/07/03 12:57:32	3.088
2024/07/03 12:57:33	3.26932
2024/07/03 12:57:34	3.26975
2024/07/03 12:57:35	3.24003
2024/07/03 12:57:36	2.21938
2024/07/03 12:57:37	2.42206
2024/07/03 12:57:38	3.59165
2024/07/03 12:57:39	2.52213
2024/07/03 12:57:40	2.5217
2024/07/03 12:57:41	-0.415671
2024/07/03 12:57:42	2.39023
2024/07/03 12:57:43	-0.349511
2024/07/03 12:57:44	-0.349507
2024/07/03 12:57:45	2.88849
2024/07/03 12:57:46	2.88871
2024/07/03 12:57:47	3.15796
2024/07/03 12:57:48	3.47648
2024/07/03 12:57:49	3.08324
2024/07/03 12:57:50	3.0834
2024/07/03 12:57:51	2.90984
2024/07/03 12:57:52	2.97254
2024/07/03 12:57:53	2.97227
2024/07/03 12:57:54	2.97233
2024/07/03 12:57:55	2.97258
2024/07/03 12:57:56	2.85462
2024/07/03 12:57:57	2.94727
2024/07/03 12:57:58	2.94724
2024/07/03 12:57:59	2.98638
2024/07/03 12:58:00	2.98969
2024/07/03 12:58:01	2.98942
2024/07/03 12:58:02	2.81855
2024/07/03 12:58:03	2.62914
2024/07/03 12:58:04	3.13963
2024/07/03 12:58:05	3.13978
2024/07/03 12:58:06	3.14005
2024/07/03 12:58:07	3.13894
2024/07/03 12:58:08	2.98563
2024/07/03 12:58:09	3.17313
2024/07/03 12:58:10	3.13495
2024/07/03 12:58:11	3.13481
2024/07/03 12:58:12	2.45079
2024/07/03 12:58:13	2.67819
2024/07/03 12:58:14	3.46835
2024/07/03 12:58:15	3.46772
2024/07/03 12:58:16	2.89735
2024/07/03 12:58:17	2.87232
2024/07/03 12:58:18	2.87243
2024/07/03 12:58:19	3.08569
2024/07/03 12:58:20	3.30887
2024/07/03 12:58:21	3.30973
2024/07/03 12:58:22	2.75668
2024/07/03 12:58:23	2.75682
2024/07/03 12:58:24	2.75698
2024/07/03 12:58:25	2.75713
2024/07/03 12:58:26	2.75724
2024/07/03 12:58:27	4.12828
2024/07/03 12:58:28	3.54858
2024/07/03 12:58:29	2.7739
2024/07/03 12:58:30	2.7732
2024/07/03 12:58:31	2.78453
2024/07/03 12:58:32	2.7843
2024/07/03 12:58:33	2.78475
2024/07/03 12:58:34	2.78419
2024/07/03 12:58:35	3.48231
2024/07/03 12:58:36	3.19052
2024/07/03 12:58:37	3.03739
2024/07/03 12:58:38	2.40918
2024/07/03 12:58:39	2.40892
2024/07/03 12:58:40	2.6283
2024/07/03 12:58:41	2.59811
2024/07/03 12:58:42	2.43429
2024/07/03 12:58:43	2.43474
2024/07/03 12:58:44	3.22989
2024/07/03 12:58:45	3.22985
2024/07/03 12:58:46	3.2295
2024/07/03 12:58:47	3.19394
2024/07/03 12:58:48	3.11295
2024/07/03 12:58:49	3.11345
2024/07/03 12:58:50	3.11348
2024/07/03 12:58:51	3.11435
2024/07/03 12:58:52	3.114
2024/07/03 12:58:53	3.11358
2024/07/03 12:58:54	3.17542
2024/07/03 12:58:55	3.17472
2024/07/03 12:58:56	3.2512
2024/07/03 12:58:57	3.25239
2024/07/03 12:58:58	2.89157
2024/07/03 12:58:59	2.16253
2024/07/03 12:59:00	2.60568
2024/07/03 12:59:01	2.6056
2024/07/03 12:59:02	3.06291
2024/07/03 12:59:03	3.02288
2024/07/03 12:59:04	3.0222
2024/07/03 12:59:05	3.0212
2024/07/03 12:59:06	2.98988
2024/07/03 12:59:07	3.0159
2024/07/03 12:59:08	3.14267
2024/07/03 12:59:09	3.18703
2024/07/03 12:59:10	3.18691
2024/07/03 12:59:11	2.34518
2024/07/03 12:59:12	2.98024
2024/07/03 12:59:13	3.00131
2024/07/03 12:59:14	2.92572
2024/07/03 12:59:15	2.99114
2024/07/03 12:59:16	2.99131
2024/07/03 12:59:17	2.74956
2024/07/03 12:59:18	2.74966
2024/07/03 12:59:19	2.7499
2024/07/03 12:59:20	3.03107
2024/07/03 12:59:21	3.03106
2024/07/03 12:59:22	3.03093
2024/07/03 12:59:23	3.03102
2024/07/03 12:59:24	3.03066
2024/07/03 12:59:25	3.22296
2024/07/03 12:59:26	2.98292
2024/07/03 12:59:27	3.03242
2024/07/03 12:59:28	3.02777
2024/07/03 12:59:29	2.90619
2024/07/03 12:59:30	3.0954
2024/07/03 12:59:31	3.09529
2024/07/03 12:59:32	2.92266
2024/07/03 12:59:33	2.8154
2024/07/03 12:59:34	2.85002
2024/07/03 12:59:35	2.85073
2024/07/03 12:59:36	3.12425
2024/07/03 12:59:37	3.18852
2024/07/03 12:59:38	2.62306
2024/07/03 12:59:39	2.14031
2024/07/03 12:59:40	2.14042
2024/07/03 12:59:41	2.99609
2024/07/03 12:59:42	2.99615
2024/07/03 12:59:43	2.73653
2024/07/03 12:59:44	2.74657
2024/07/03 12:59:45	3.25635
2024/07/03 12:59:46	2.58646
2024/07/03 12:59:47	2.85622
2024/07/03 12:59:48	2.85582
2024/07/03 12:59:49	2.99604
2024/07/03 12:59:50	3.23173
2024/07/03 12:59:51	3.2318
2024/07/03 12:59:52	3.1766
2024/07/03 12:59:53	2.94293
2024/07/03 12:59:54	2.90555
2024/07/03 12:59:55	2.90548
2024/07/03 12:59:56	2.90541
2024/07/03 12:59:57	3.01037
2024/07/03 12:59:58	2.98004
2024/07/03 12:59:59	2.98009
2024/07/03 13:00:00	2.7714
2024/07/03 13:00:01	2.85595
2024/07/03 13:00:02	3.2488
2024/07/03 13:00:03	3.2486
